,Stablecoin_Market_Cap,ETF_Volume_Proxy,BTC_Realized_Cap,Binance_BTC_OI
2025-02-06 00:00:00,"{'peggedUSD': 223794663310, 'peggedVAR': 91881484, 'peggedEUR': 305497897, 'peggedJPY': 1674302491, 'peggedCNY': 70571, 'peggedUAH': 1010593, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23666804, 'peggedAUD': 401151, 'peggedREAL': 2888237}",1561240897.7462769,,
2025-02-07 00:00:00,"{'peggedUSD': 224449879855, 'peggedVAR': 91859415, 'peggedEUR': 305801338, 'peggedJPY': 1674331630, 'peggedCNY': 70571, 'peggedUAH': 1010593, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23666971, 'peggedAUD': 401151, 'peggedREAL': 2795350}",2259268581.6314697,,
2025-02-08 00:00:00,"{'peggedUSD': 225570273153, 'peggedVAR': 91843495, 'peggedEUR': 298175608, 'peggedJPY': 1674320331, 'peggedCNY': 70571, 'peggedUAH': 1006025, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23593134, 'peggedAUD': 400999, 'peggedREAL': 2929725}",2259268581.6314697,,
2025-02-09 00:00:00,"{'peggedUSD': 225479616157, 'peggedVAR': 91881199, 'peggedEUR': 298260189, 'peggedJPY': 1674316698, 'peggedCNY': 70571, 'peggedUAH': 1006025, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23586404, 'peggedAUD': 400999, 'peggedREAL': 2981247}",2259268581.6314697,,
2025-02-10 00:00:00,"{'peggedUSD': 225617851375, 'peggedVAR': 91887582, 'peggedEUR': 298280318, 'peggedJPY': 1674320104, 'peggedCNY': 70571, 'peggedUAH': 1006025, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23580300, 'peggedAUD': 400999, 'peggedREAL': 2948716}",1181355106.7848206,,
2025-02-11 00:00:00,"{'peggedUSD': 226029535744, 'peggedVAR': 91875633, 'peggedEUR': 292643025, 'peggedJPY': 1674024926, 'peggedCNY': 70571, 'peggedUAH': 1006025, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23672094, 'peggedAUD': 400999, 'peggedREAL': 2825443}",1490335513.81073,,
2025-02-12 00:00:00,"{'peggedUSD': 226006061037, 'peggedVAR': 91867149, 'peggedEUR': 288687594, 'peggedJPY': 1674027243, 'peggedCNY': 70571, 'peggedUAH': 1006025, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23668722, 'peggedAUD': 400999, 'peggedREAL': 2776346}",1899997226.7440796,,
2025-02-13 00:00:00,"{'peggedUSD': 226235758799, 'peggedVAR': 91872893, 'peggedEUR': 287191864, 'peggedJPY': 1674025963, 'peggedCNY': 70571, 'peggedUAH': 1001625, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23651186, 'peggedAUD': 400999, 'peggedREAL': 2804185}",1325321128.6376953,,
2025-02-14 00:00:00,"{'peggedUSD': 226238370226, 'peggedVAR': 91822100, 'peggedEUR': 287384087, 'peggedJPY': 1674022694, 'peggedCNY': 70571, 'peggedUAH': 1001625, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23654729, 'peggedAUD': 400999, 'peggedREAL': 2857717}",1521873832.3638916,,
2025-02-15 00:00:00,"{'peggedUSD': 226760424597, 'peggedVAR': 91831304, 'peggedEUR': 286792975, 'peggedJPY': 1674020720, 'peggedCNY': 70571, 'peggedUAH': 1001625, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1027532, 'peggedCHF': 23552154, 'peggedAUD': 400999, 'peggedREAL': 2798216}",1521873832.3638916,,
